pairkey,band,method,ok,ssim_edges,out_path,extra,flag_low_ssim
IMG_210204_095604_0120_,NIR,ORB_RANSAC,1,0.1544120760221172,artifacts\aligned\NIR\IMG_210204_095604_0120__NIR.tif,"{""inliers"": 25, ""matches"": 500, ""homography"": [[0.30689579248428345, 0.45264044404029846, 192.1932830810547], [-0.166693776845932, 0.7730327248573303, 96.78858947753906], [-0.0005543088191188872, 0.0005765772657468915, 1.0]]}",1
IMG_210204_095604_0120_,GRE,ORB_RANSAC,1,0.4358012297236955,artifacts\aligned\GRE\IMG_210204_095604_0120__GRE.tif,"{""inliers"": 390, ""matches"": 500, ""homography"": [[1.0152833461761475, -0.0010960280196741223, 9.998597145080566], [0.008387433364987373, 1.006592869758606, -24.866775512695312], [1.0669566108845174e-05, -2.2469364466815023e-06, 1.0]]}",1
IMG_210204_095606_0121_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095606_0121__RED.tif,{},0
IMG_210204_095606_0121_,REG,ORB_RANSAC,1,0.22270313367675082,artifacts\aligned\REG\IMG_210204_095606_0121__REG.tif,"{""inliers"": 45, ""matches"": 500, ""homography"": [[0.26958295702934265, -0.44756728410720825, 408.19061279296875], [-0.1293143779039383, 0.19029085338115692, 244.19979858398438], [-0.0002637077122926712, -0.0005731977289542556, 1.0]]}",1
IMG_210204_095606_0121_,NIR,ORB_RANSAC,1,0.19759981976845617,artifacts\aligned\NIR\IMG_210204_095606_0121__NIR.tif,"{""inliers"": 7, ""matches"": 500, ""homography"": [[1.2047789096832275, -2.1009714603424072, 653.6988525390625], [1.2871589660644531, -2.235482692718506, 694.7238159179688], [0.0018454635282978415, -0.0032137709204107523, 1.0]]}",1
IMG_210204_095606_0121_,GRE,ORB_RANSAC,1,0.4583905472845148,artifacts\aligned\GRE\IMG_210204_095606_0121__GRE.tif,"{""inliers"": 397, ""matches"": 500, ""homography"": [[0.9895696640014648, -0.0025793539825826883, 20.530136108398438], [-0.0016605252167209983, 0.9944718480110168, -17.089237213134766], [-5.925041932641761e-06, -1.7725546967994887e-06, 1.0]]}",1
IMG_210204_095608_0122_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095608_0122__RED.tif,{},0
IMG_210204_095608_0122_,REG,ORB_RANSAC,1,0.30182336648467356,artifacts\aligned\REG\IMG_210204_095608_0122__REG.tif,"{""inliers"": 40, ""matches"": 500, ""homography"": [[1.9912147521972656, 0.18942546844482422, -455.1686096191406], [0.43295660614967346, 1.8540966510772705, -590.2932739257812], [0.0005262287450022995, 0.0002462139818817377, 1.0]]}",1
IMG_210204_095608_0122_,NIR,ORB_RANSAC,1,0.2212586868269149,artifacts\aligned\NIR\IMG_210204_095608_0122__NIR.tif,"{""inliers"": 9, ""matches"": 500, ""homography"": [[0.4964260458946228, -0.9869768023490906, 717.0303344726562], [0.6726306676864624, -1.3088053464889526, 947.0867309570312], [0.000730304338503629, -0.001378817716613412, 1.0]]}",1
IMG_210204_095608_0122_,GRE,ORB_RANSAC,1,0.37404334086711416,artifacts\aligned\GRE\IMG_210204_095608_0122__GRE.tif,"{""inliers"": 339, ""matches"": 500, ""homography"": [[1.0213162899017334, 0.01258889026939869, 2.3486945629119873], [0.002328981179744005, 1.0373334884643555, -36.85299301147461], [7.805992026987951e-06, 1.4035465937922709e-05, 1.0]]}",1
IMG_210204_095610_0123_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095610_0123__RED.tif,{},0
IMG_210204_095610_0123_,REG,ORB_RANSAC,1,0.20310912669190814,artifacts\aligned\REG\IMG_210204_095610_0123__REG.tif,"{""inliers"": 7, ""matches"": 500, ""homography"": [[-4.523102283477783, -1.047240972518921, 654.0135498046875], [-5.8609771728515625, -1.4556841850280762, 990.6781616210938], [-0.00619867816567421, -0.0019823135808110237, 1.0]]}",1
IMG_210204_095610_0123_,NIR,ORB_RANSAC,1,0.21211082404743598,artifacts\aligned\NIR\IMG_210204_095610_0123__NIR.tif,"{""inliers"": 8, ""matches"": 500, ""homography"": [[-2.770883321762085, -1.879049301147461, 753.5181884765625], [-3.3581416606903076, -2.271034002304077, 909.4594116210938], [-0.0036963694728910923, -0.002492808271199465, 1.0]]}",1
IMG_210204_095610_0123_,GRE,ORB_RANSAC,1,0.5183044692777709,artifacts\aligned\GRE\IMG_210204_095610_0123__GRE.tif,"{""inliers"": 137, ""matches"": 500, ""homography"": [[0.996688187122345, -0.0003138520987704396, 15.728411674499512], [-0.0034057945013046265, 0.9980581998825073, -17.00841522216797], [-4.248321147315437e-06, -3.453149872711947e-07, 1.0]]}",1
IMG_210204_095612_0124_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095612_0124__RED.tif,{},0
IMG_210204_095612_0124_,REG,ORB_RANSAC,1,0.22489799448711148,artifacts\aligned\REG\IMG_210204_095612_0124__REG.tif,"{""inliers"": 58, ""matches"": 500, ""homography"": [[1.0442103147506714, 0.0067328112199902534, -7.647391319274902], [0.005483212415128946, 0.9952102899551392, -29.91739845275879], [0.00010503349039936438, -2.2357142370310612e-05, 1.0]]}",1
IMG_210204_095612_0124_,NIR,ORB_RANSAC,1,0.24310230038838088,artifacts\aligned\NIR\IMG_210204_095612_0124__NIR.tif,"{""inliers"": 16, ""matches"": 500, ""homography"": [[4.275113105773926, -1.147363305091858, -295.4447326660156], [0.8107667565345764, 1.6917238235473633, -148.9938507080078], [0.009728167206048965, -0.006020701490342617, 1.0]]}",1
IMG_210204_095612_0124_,GRE,ORB_RANSAC,1,0.4919360553636332,artifacts\aligned\GRE\IMG_210204_095612_0124__GRE.tif,"{""inliers"": 129, ""matches"": 500, ""homography"": [[0.9975749254226685, 0.0021953266113996506, 15.088826179504395], [-0.001330271945334971, 0.9995195865631104, -18.01642417907715], [-3.996848590759328e-06, 1.9986548522865633e-06, 1.0]]}",1
IMG_210204_095614_0125_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095614_0125__RED.tif,{},0
IMG_210204_095614_0125_,REG,ORB_RANSAC,1,0.11325660598939602,artifacts\aligned\REG\IMG_210204_095614_0125__REG.tif,"{""inliers"": 137, ""matches"": 500, ""homography"": [[1.1046634912490845, 0.026929505169391632, -13.848180770874023], [0.036584898829460144, 1.1052592992782593, -46.97531509399414], [0.0002109979250235483, 0.00016242137644439936, 1.0]]}",1
IMG_210204_095614_0125_,NIR,ORB_RANSAC,1,0.12540601798273066,artifacts\aligned\NIR\IMG_210204_095614_0125__NIR.tif,"{""inliers"": 63, ""matches"": 500, ""homography"": [[0.8030674457550049, -0.023446252569556236, 11.343940734863281], [-0.07282425463199615, 0.8558313250541687, 0.24260003864765167], [-0.00041517859790474176, -0.00013502022193279117, 1.0]]}",1
IMG_210204_095614_0125_,GRE,ORB_RANSAC,1,0.17394295375303997,artifacts\aligned\GRE\IMG_210204_095614_0125__GRE.tif,"{""inliers"": 254, ""matches"": 500, ""homography"": [[1.01775062084198, 0.0046743969433009624, 13.818559646606445], [0.0032578285317867994, 1.0224828720092773, -20.752872467041016], [3.560004188329913e-05, 3.7657224311260507e-05, 1.0]]}",1
IMG_210204_095615_0126_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095615_0126__RED.tif,{},0
IMG_210204_095615_0126_,REG,ORB_RANSAC,1,0.13773379395864765,artifacts\aligned\REG\IMG_210204_095615_0126__REG.tif,"{""inliers"": 180, ""matches"": 500, ""homography"": [[0.9327601790428162, -0.022049585357308388, 9.84816837310791], [-0.01444906834512949, 0.933526337146759, -20.846158981323242], [-8.171911758836359e-05, -8.853480539983138e-05, 1.0]]}",1
IMG_210204_095615_0126_,NIR,ORB_RANSAC,1,0.15479314584197937,artifacts\aligned\NIR\IMG_210204_095615_0126__NIR.tif,"{""inliers"": 119, ""matches"": 500, ""homography"": [[1.0938796997070312, 0.018688594922423363, -25.59836196899414], [0.056254006922245026, 1.0791633129119873, -43.34193420410156], [0.0001660061243455857, 7.697522232774645e-05, 1.0]]}",1
IMG_210204_095615_0126_,GRE,ORB_RANSAC,1,0.222643386952247,artifacts\aligned\GRE\IMG_210204_095615_0126__GRE.tif,"{""inliers"": 329, ""matches"": 500, ""homography"": [[1.0325727462768555, 0.005323790945112705, 10.60763931274414], [0.010547534562647343, 1.0152230262756348, -21.200414657592773], [5.2250848966650665e-05, 1.3818949810229242e-05, 1.0]]}",1
IMG_210204_095617_0127_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095617_0127__RED.tif,{},0
IMG_210204_095617_0127_,REG,ORB_RANSAC,1,0.20212868475836196,artifacts\aligned\REG\IMG_210204_095617_0127__REG.tif,"{""inliers"": 143, ""matches"": 500, ""homography"": [[1.0079188346862793, 0.0060265325009822845, -5.885202884674072], [0.0058413902297616005, 1.0076404809951782, -35.38355255126953], [-1.6878173880741087e-07, 4.5464107643056195e-06, 1.0]]}",1
IMG_210204_095617_0127_,NIR,ORB_RANSAC,1,0.1665433631313425,artifacts\aligned\NIR\IMG_210204_095617_0127__NIR.tif,"{""inliers"": 117, ""matches"": 500, ""homography"": [[0.9384926557540894, -0.012685516849160194, -1.3974254131317139], [-0.03721827641129494, 0.9176003932952881, 2.093231201171875], [-6.15218814346008e-05, -6.33718809694983e-05, 1.0]]}",1
